Canal,Sensor,RMS,IEMG,ZCR,AUC,Acuracia
1,Eletrodo 1 (Rádio-Umeral),0.000017,0.127757,1537,0.797545,0.734464
2,Eletrodo 2 (Rádio-Umeral),0.000014,0.123105,1507,0.852167,0.840109
3,Eletrodo 3 (Rádio-Umeral),0.000019,0.168602,1328,0.875104,0.856146
4,Eletrodo 4 (Rádio-Umeral),0.000019,0.168461,1369,0.874832,0.831168
5,Eletrodo 5 (Rádio-Umeral),0.000008,0.070679,1350,0.885850,0.854382
6,Eletrodo 6 (Rádio-Umeral),0.000020,0.178011,1168,0.895920,0.882247
7,Eletrodo 7 (Rádio-Umeral),0.000058,0.501824,1246,0.775835,0.793040
8,Eletrodo 8 (Rádio-Umeral),0.000050,0.436319,1415,0.920020,0.844519
9,Flexor Digitorum Superficialis,0.000021,0.174764,1524,0.840960,0.831208
10,Extensor Digitorum Superficialis,0.000057,0.494046,1294,0.853933,0.857189
11,Biceps Brachii,0.000013,0.118508,979,0.941663,0.894435
12,Triceps Brachii,0.000007,0.059536,1258,0.664551,0.659330
